id,title,author,release_date
47516,Haukansilmä,James Fenimore Cooper,2014
35487,Swamp Cat,James Arthur Kjelgaard,2011
32470,Isle of the Undead,Lloyd Arthur Eshbach,2010
49931,A Bullet for Cinderella,John D. MacDonald,2015
3941,Unknown,Unknown,0
35502,The Basket Woman,Mary Austin,2011
25656,The Mystery of a Turkish Bath,E.M. Gollan (AKA Rita),2008
11045,The Ghost Ship,Richard Middleton,2004
45726,Linnamäen taru; Kaksi yötä,Voldemar Lindman,2014
12587,The Man Who Laughs,Victor Hugo,2004
13527,"Ticket No. ""9672""",Jules Verne,2004
26355,"Tom, The Bootblack",Horatio Alger,2008
53123,The Trouble with Truth,Julian F. Grow,2016
27455,The Radio Boys at the Sending Station,Allen Chapman,2008
52702,Mrs Peixada,"Henry Harland, AKA Sidney Luska",2016
36335,The Secret of Lonesome Cove,Samuel Hopkins Adams,2011
13260,"Droll Stories, Complete",Honore de Balzac,2004
56231,"The ""B. O. W. C.""",James De Mille,2017
32055,The Hand,Gerald Allan Sohl,2010
28441,A Modern Cinderella,Amanda M. Douglas,2009
23662,The Heart of Unaga,Ridgwell Cullum,2007
56501,Comic history of the United States,Livingston Hopkins,2018
36258,The Beautiful People,Charles Beaumont,2011
41130,The Stolen Statesman,William Le Queux,2012
53341,The Dorrington Deed-Box,Arthur Morrison,2016
28619,The Cuckoo Clock,Mrs. Molesworth,2009
34017,Deep Moat Grange,S. R. Crockett,2010
32036,The Unprotected Species,Melvin Sturgis,2010
6141,Peck's Bad Boy With the Cowboys,George W. Peck,2004
31123,The Observers,G. L. Vandenburg,2010
19026,The Boss of the Lazy Y,Charles Alden Seltzer,2006
9200,"Klein Zaches, genannt Zinnober",E. T. A. Hoffmann,2005
3411,The Stokesley Secret,Charlotte M. Yonge,2015
45539,The Compleat Bachelor,Oliver Onions,2014
2644,Isaac Bickerstaff,Richard Steele,2001
12156,The Three Sisters,W.W. Jacobs,2004
19311,The Outdoor Girls in Florida,Laura Lee Hope,2006
24835,RÃ­dan The Devil And Other Stories,Louis Becke,2008
6866,The Story of Siegfried,James Baldwin,2004
37415,Trumpeter Fred,Charles King,2011
39489,With Beatty off Jutland,Percy F. Westerman,2012
19023,A Daughter of the Sioux,Charles King,2006
58800,The Girl of the Golden West,David Belasco,2019
35728,Motor Boat Boys on the St. Lawrence,Louis Arundel,2011
3274,"The Complete Works of Artemus Ward, Part 4",Charles Farrar Browne,2002
10565,Watch-Dogs,W.W. Jacobs,2004
41025,Josh Billings on Ice,Henry Wheeler Shaw,2012
33270,Just Gerry,Christine Chaundler,2010
41661,Dave Darrin on the Asiatic Station,H. Irving Hancock,2012
43288,The Third Volume,Fergus Hume,2013
26244,Cavanagh: Forest Ranger,Hamlin Garland,2008
50604,The Phantom Friend,Margaret Sutton,2015
173,The Insidious Dr. Fu-Manchu,Sax Rohmer,2008
30500,The Passenger,Kenneth Harmon,2009
27188,The Wonder,J. D. Beresford,2008
25180,La favorita del Mahdi,Emilio Salgari,2008
16233,"An Essay towards Fixing the True Standards of Wit, Humour, Railery, Satire, and Ridicule (1744)",Corbyn Morris,2005
55972,Pyhä hymy,Lauri Sauramo,2017
44924,Uncle Joe's Stories,"Edward Hugessen Knatchbull-Hugesson, First Baron Brabourne",2014
29138,The Doorway,Evelyn E. Smith,2009
33781,"I misteri del castello d'Udolfo, vol. 1",Ann Radcliffe,2010
36836,The Men Who Wrought,Ridgwell Cullum,2011
44663,"John Leech's Pictures Of Life And Character, Volume III (of III)",John Leech,2014
1730,"Michael, Brother of Jerry",Jack London,2005
32068,World of the Drone,Robert Abernathy,2010
27067,The Fixed Period,Anthony Trollope,2008
48831,Rannikon ratsastaja,Theodor Storm,2015
59406,King Penda's Captain,MacKenzie MacBride,2019
60177,Through the Desert,Henryk Sienkiewicz,2019
34614,The Little Girl Who Was Taught by Experience,Anonymous,2010
4223,The Mystery of a Hansom Cab,Fergus Hume,2003
42691,The Joys of Being a Woman,Winifred Kirkland,2013
20854,Muuan suomalainen soturi Kristiina kuningattaren aikakaudella,Evald Ferdinand Jahnsson,2007
19614,The Dark Forest,Hugh  Walpole,2006
52194,Bob Burton,Horatio Alger Jr.,2016
12954,The Phantom Ship,Captain Frederick Marryat,2004
55322,Neljä naista ristillä,Maurice Leblanc,2017
37121,Charles Dickens' Children Stories,Charles Dickens,2011
6662,Little Citizens,Myra Kelly,2004
20056,De Gouden Vaas,Ernst Theodor Amadeus Hoffmann,2006
10925,"A Collection Of Old English Plays, Vol. IV.",Editor: A.H. Bullen,2004
8153,The Young Engineers in Arizona,H. Irving Hancock,2005
13991,Puukkojunkkarit,Santeri Alkio,2004
10234,Old Creole Days,George Washington Cable,2003
56976,The Bondman,Mrs. O'Neill,2018
42963,The Weird Orient,Henry Iliowizi,2013
18939,Andy at Yale,Roy Eliot Stokes,2006
39138,Starvecrow Farm,Stanley J. Weyman,2012
1078,The Scouts of the Valley,Joseph A. Altsheler,1997
7949,"The Historical Nights Entertainment, Second Series",Rafael Sabatini,2009
10391,The Wolf's Long Howl,Stanley Waterloo,2003
13334,"The Collected Works of Ambrose Bierce, Vol. II: In the Midst of Life: Tales of Soldiers and Civilians",Ambrose Bierce,2004
1931,The Zeppelin's Passenger,E. Phillips Oppenheim,1999
53987,Marjorie Dean Macy's Hamilton Colony,Pauline Lester,2017
19146,The Entailed Hat,George Alfred Townsend,2006
56199,Away to school: 'Ãlta'gÃ³Ã³,Cecil S. King,2017
20384,"David Lannarck, Midget",George S. Harney,2007
46075,"Motor Matt; or, The King of the Wheel",Stanley R. Matthews,2014
12997,The Pony Rider Boys in the Grand Canyon,Frank Gee Patchin,2004
38555,Dorothy Dale in the City,Margaret Penrose,2012
12202,The Castaway,W.W. Jacobs,2004
57222,Avonturen aan gene zijde van den Evenaar,Kurt von Albrecht,2018
43011,Roy Blakeley's Silver Fox Patrol,Percy Keese Fitzhugh,2013
55597,Sam Steele's Adventures on Land and Sea,Capt. Hugh Fitzgerald,2017
12493,How John Became a Man,Isabel C. Byrum,2004
